Episode #  10  |  Val. Score: +0.60  |  Avg. Val. Score: +0.60  |  Epsilon: 0.993  |  Time elapsed: 1.26s
Episode #  20  |  Val. Score: +0.40  |  Avg. Val. Score: +0.50  |  Epsilon: 0.989  |  Time elapsed: 1.48s
Episode #  30  |  Val. Score: +0.40  |  Avg. Val. Score: +0.47  |  Epsilon: 0.982  |  Time elapsed: 1.73s
Episode #  40  |  Val. Score: +0.80  |  Avg. Val. Score: +0.55  |  Epsilon: 0.975  |  Time elapsed: 1.99s
Episode #  50  |  Val. Score: +0.50  |  Avg. Val. Score: +0.54  |  Epsilon: 0.969  |  Time elapsed: 2.23s
Episode #  60  |  Val. Score: +0.20  |  Avg. Val. Score: +0.48  |  Epsilon: 0.964  |  Time elapsed: 2.46s
Episode #  70  |  Val. Score: +0.20  |  Avg. Val. Score: +0.44  |  Epsilon: 0.960  |  Time elapsed: 3.78s
Episode #  80  |  Val. Score: -0.60  |  Avg. Val. Score: +0.31  |  Epsilon: 0.953  |  Time elapsed: 8.43s
Episode #  90  |  Val. Score: +0.70  |  Avg. Val. Score: +0.36  |  Epsilon: 0.948  |  Time elapsed: 12.18s
Episode # 100  |  Val. Score: +0.40  |  Avg. Val. Score: +0.36  |  Epsilon: 0.943  |  Time elapsed: 15.72s
Checkpoint saved!
Episode # 110  |  Val. Score: +0.10  |  Avg. Val. Score: +0.34  |  Epsilon: 0.940  |  Time elapsed: 19.20s
Episode # 120  |  Val. Score: -0.10  |  Avg. Val. Score: +0.30  |  Epsilon: 0.936  |  Time elapsed: 22.67s
Episode # 130  |  Val. Score: +0.00  |  Avg. Val. Score: +0.28  |  Epsilon: 0.929  |  Time elapsed: 27.29s
Episode # 140  |  Val. Score: -0.10  |  Avg. Val. Score: +0.25  |  Epsilon: 0.924  |  Time elapsed: 31.12s
Episode # 150  |  Val. Score: -0.70  |  Avg. Val. Score: +0.19  |  Epsilon: 0.920  |  Time elapsed: 34.17s
Episode # 160  |  Val. Score: +0.30  |  Avg. Val. Score: +0.19  |  Epsilon: 0.915  |  Time elapsed: 38.46s
Episode # 170  |  Val. Score: +0.00  |  Avg. Val. Score: +0.18  |  Epsilon: 0.908  |  Time elapsed: 42.75s
